,Fold,Set,Folder,US_Image,US_Pose
0,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00000.png,Undefined
1,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00001.png,Undefined
2,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00002.png,Undefined
3,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00003.png,Undefined
4,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00004.png,Undefined
5,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00005.png,Undefined
6,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00006.png,Undefined
7,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00007.png,Undefined
8,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00008.png,Undefined
9,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00009.png,Undefined
10,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00010.png,Undefined
11,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00011.png,Undefined
12,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00012.png,Undefined
13,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00013.png,Long-axis
14,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00014.png,Long-axis
15,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00015.png,Long-axis
16,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00016.png,Long-axis
17,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00017.png,Long-axis
18,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00018.png,Long-axis
19,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00019.png,Long-axis
20,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00020.png,Long-axis
21,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00021.png,Long-axis
22,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00022.png,Long-axis
23,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00023.png,Long-axis
24,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00024.png,Long-axis
25,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00025.png,Long-axis
26,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00026.png,Long-axis
27,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00027.png,Long-axis
28,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00028.png,Long-axis
29,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00029.png,Long-axis
30,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00030.png,Long-axis
31,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00031.png,Long-axis
32,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00032.png,Long-axis
33,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00033.png,Long-axis
34,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00034.png,Long-axis
35,0,Train,SampleDataset\MS02-20200210-152827,MS02-20200210-152827_00035.png,Long-axis
